opportunity_id,primary_savings_model_id,secondary_savings_model_ids,value_roles,business_relevance,affected_bill_types,required_bill_fields,optional_bill_fields,required_non_bill_inputs,incentive_value_method,project_cost_estimation_method,calculation_readiness,confidence,manual_review_required
"SOURCE_DSIRE:dsire_program_id:21861","grant_funding","battery_tou_demand_savings|motor_vfd_efficiency|solar_electric_offset","bill_savings|upfront_cost_reduction","business_relevant","none|electric","project_cost_estimate","contractor_quote_amount|annual_kwh|monthly_peak_kw|peak_kw|demand_charge_rate|monthly_kwh|time_of_use_periods|demand_charges|generation_charges|delivery_charges","equipment_category|project_timing","grant_amount","contractor_quote_required","needs_quote","medium","true"
"SOURCE_DSIRE:dsire_program_id:1931","battery_tou_demand_savings","refrigeration_electric_efficiency|commercial_kitchen_equipment_efficiency","bill_savings|upfront_cost_reduction","business_relevant","electric","rate_schedule|time_of_use_periods|peak_kw|demand_charges|demand_charge_rate|monthly_kwh","annual_kwh|monthly_peak_kw|monthly_kwh|peak_kw|demand_charges|annual_therms|average_cost_per_therm|annual_water_use|annual_water_cost|annual_sewer_cost","equipment_category","per_unit","cost_per_kwh_storage","needs_equipment_details","medium","true"
"SOURCE_DSIRE:dsire_program_id:22773","sales_or_property_tax_exemption","battery_tou_demand_savings","bill_savings|tax_benefit","business_relevant","none|electric","project_cost_estimate","ownership_status|tax_entity_type|contractor_quote_amount|annual_kwh|monthly_peak_kw","equipment_category","tax_exemption","cost_per_kwh_storage","needs_tax_review","high","false"
"SOURCE_DSIRE:dsire_program_id:22529","ev_charging_site_load","grant_funding","bill_savings|upfront_cost_reduction","mixed","electric|none","rate_schedule|annual_kwh|average_cost_per_kwh","peak_kw|demand_charge_rate|time_of_use_periods|contractor_quote_amount","parking_spaces|ownership_status|equipment_category","grant_amount","cost_per_unit","needs_quote","high","false"
"SOURCE_DSIRE:dsire_program_id:22523","ev_charging_site_load","project_cost_reduction_only","bill_savings|upfront_cost_reduction","mixed","electric|none","rate_schedule|annual_kwh|average_cost_per_kwh","peak_kw|demand_charge_rate|time_of_use_periods|contractor_quote_amount|quote_date","parking_spaces|ownership_status|equipment_category","per_unit","cost_per_unit","needs_quote","high","false"
"SOURCE_DSIRE:dsire_program_id:22546","ev_charging_site_load","project_cost_reduction_only","bill_savings|upfront_cost_reduction","business_relevant","electric|none","rate_schedule|annual_kwh|average_cost_per_kwh","peak_kw|demand_charge_rate|time_of_use_periods|contractor_quote_amount|quote_date","parking_spaces|ownership_status|equipment_category","per_unit","cost_per_unit","needs_quote","high","false"
"SOURCE_DSIRE:dsire_program_id:1935","water_sewer_reduction","gas_to_electric_replacement|solar_electric_offset","bill_savings|upfront_cost_reduction","residential_only","water_sewer|electric|gas","annual_water_use|annual_water_cost|annual_sewer_cost","monthly_water_use|water_unit|sewer_cost|meter_size|irrigation_meter_present|monthly_therms|monthly_kwh|rate_schedule|gas_rate_schedule|peak_kw|time_of_use_periods|demand_charges|generation_charges|delivery_charges","equipment_category","per_unit","cost_per_unit","needs_equipment_details","low","true"
"SOURCE_DSIRE:dsire_program_id:1939","water_sewer_reduction","gas_to_electric_replacement|electric_usage_reduction","bill_savings|upfront_cost_reduction","residential_only","water_sewer|electric|gas","annual_water_use|annual_water_cost|annual_sewer_cost","monthly_water_use|water_unit|sewer_cost|meter_size|irrigation_meter_present|monthly_therms|monthly_kwh|rate_schedule|gas_rate_schedule|peak_kw|delivery_charges|generation_charges","equipment_category","per_unit","cost_per_unit","needs_equipment_details","low","true"
"SOURCE_DSIRE:dsire_program_id:4723","water_sewer_reduction","hvac_electric_efficiency|gas_usage_reduction","bill_savings|upfront_cost_reduction","residential_only","water_sewer|electric|gas","annual_water_use|annual_water_cost|annual_sewer_cost","monthly_water_use|water_unit|sewer_cost|meter_size|irrigation_meter_present|monthly_kwh|peak_kw|demand_charges|rate_schedule|monthly_therms|gas_rate_schedule","equipment_category","per_unit","cost_per_unit","needs_equipment_details","low","true"
"SOURCE_DSIRE:dsire_program_id:3284","commercial_kitchen_equipment_efficiency","gas_usage_reduction|water_sewer_reduction","bill_savings|upfront_cost_reduction","business_relevant","electric|gas|water_sewer","annual_kwh|annual_electric_cost|average_cost_per_kwh","annual_therms|average_cost_per_therm|annual_water_use|annual_water_cost|annual_sewer_cost|monthly_therms|gas_rate_schedule|monthly_water_use|water_unit|sewer_cost|meter_size|irrigation_meter_present","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","high","false"
"SOURCE_DSIRE:dsire_program_id:5832","commercial_kitchen_equipment_efficiency","hvac_electric_efficiency|electric_usage_reduction","bill_savings|upfront_cost_reduction","mixed","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","annual_therms|average_cost_per_therm|annual_water_use|annual_water_cost|annual_sewer_cost|monthly_kwh|peak_kw|demand_charges|rate_schedule|delivery_charges|generation_charges","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","high","false"
"SOURCE_DSIRE:dsire_program_id:22561","commercial_kitchen_equipment_efficiency","refrigeration_electric_efficiency|motor_vfd_efficiency","bill_savings|upfront_cost_reduction","business_relevant","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","annual_therms|average_cost_per_therm|annual_water_use|annual_water_cost|annual_sewer_cost|monthly_kwh|peak_kw|demand_charges|demand_charge_rate","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","high","false"
"SOURCE_DSIRE:dsire_program_id:4429","motor_vfd_efficiency","controls_building_automation|hvac_electric_efficiency","bill_savings|upfront_cost_reduction","business_relevant","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","peak_kw|demand_charge_rate|monthly_kwh|annual_therms|demand_charges|time_of_use_periods|rate_schedule","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","high","false"
"SOURCE_DSIRE:dsire_program_id:22560","motor_vfd_efficiency","commercial_kitchen_equipment_efficiency|refrigeration_electric_efficiency","bill_savings|upfront_cost_reduction","business_relevant","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","peak_kw|demand_charge_rate|monthly_kwh|annual_therms|average_cost_per_therm|annual_water_use|annual_water_cost|annual_sewer_cost|demand_charges","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","high","false"
"SOURCE_DSIRE:dsire_program_id:2260","motor_vfd_efficiency","commercial_kitchen_equipment_efficiency|refrigeration_electric_efficiency","bill_savings|upfront_cost_reduction","business_relevant","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","peak_kw|demand_charge_rate|monthly_kwh|annual_therms|average_cost_per_therm|annual_water_use|annual_water_cost|annual_sewer_cost|demand_charges","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","high","false"
"SOURCE_DSIRE:dsire_program_id:1544","controls_building_automation","hvac_electric_efficiency|motor_vfd_efficiency|refrigeration_electric_efficiency","bill_savings|upfront_cost_reduction","mixed","electric","annual_kwh|rate_schedule","annual_therms|peak_kw|demand_charges|time_of_use_periods|monthly_kwh|rate_schedule|demand_charge_rate","square_footage|equipment_category","per_kwh_saved","benchmark_range","needs_bill","medium","true"
"SOURCE_DSIRE:dsire_program_id:2458","controls_building_automation","motor_vfd_efficiency|hvac_electric_efficiency","bill_savings|upfront_cost_reduction","business_relevant","electric","annual_kwh|rate_schedule","annual_therms|peak_kw|demand_charges|time_of_use_periods|demand_charge_rate|monthly_kwh|rate_schedule","square_footage|equipment_category","per_unit","benchmark_range","needs_equipment_details","medium","true"
"SOURCE_DSIRE:dsire_program_id:3154","controls_building_automation","hvac_electric_efficiency|refrigeration_electric_efficiency","bill_savings|upfront_cost_reduction","business_relevant","electric","annual_kwh|rate_schedule","annual_therms|peak_kw|demand_charges|time_of_use_periods|monthly_kwh|rate_schedule","square_footage|equipment_category","per_unit","cost_per_unit","needs_equipment_details","medium","true"
"SOURCE_DSIRE:dsire_program_id:22183","grant_funding","fleet_fuel_replacement","bill_savings|upfront_cost_reduction","mixed","none|fuel|electric","project_cost_estimate","contractor_quote_amount|estimated_miles|fuel_type|monthly_fuel_cost|rate_schedule|average_cost_per_kwh","equipment_category|project_timing","grant_amount","cost_per_unit","needs_quote","high","false"
"SOURCE_DSIRE:dsire_program_id:3677","grant_funding","project_cost_reduction_only","upfront_cost_reduction","business_relevant","none","project_cost_estimate","contractor_quote_amount|quote_date","equipment_category|project_timing","grant_amount","contractor_quote_required","incentive_only","medium","true"
"SOURCE_DSIRE:dsire_program_id:5888","grant_funding","solar_electric_offset|electric_usage_reduction","bill_savings|upfront_cost_reduction","agriculture_only","none|electric","project_cost_estimate","contractor_quote_amount|time_of_use_periods|demand_charges|generation_charges|delivery_charges|monthly_kwh|rate_schedule","equipment_category|project_timing","grant_amount","contractor_quote_required","needs_quote","medium","false"
"SOURCE_DSIRE:dsire_program_id:917","grant_funding","solar_electric_offset","bill_savings|upfront_cost_reduction","mixed","none|electric","project_cost_estimate","contractor_quote_amount|time_of_use_periods|demand_charges|generation_charges|delivery_charges","equipment_category|project_timing","grant_amount","contractor_quote_required","needs_quote","medium","false"
"SOURCE_DSIRE:dsire_program_id:3543","sales_or_property_tax_exemption","solar_electric_offset|battery_tou_demand_savings","bill_savings|tax_benefit","business_relevant","none|electric","project_cost_estimate","ownership_status|tax_entity_type|contractor_quote_amount|time_of_use_periods|demand_charges|generation_charges|delivery_charges|annual_kwh|monthly_peak_kw","equipment_category","tax_exemption","contractor_quote_required","needs_tax_review","high","false"
"SOURCE_DSIRE:dsire_program_id:2742","sales_or_property_tax_exemption","solar_electric_offset","bill_savings|tax_benefit","business_relevant","none|electric","project_cost_estimate","ownership_status|tax_entity_type|contractor_quote_amount|time_of_use_periods|demand_charges|generation_charges|delivery_charges","equipment_category","tax_exemption","contractor_quote_required","needs_tax_review","high","false"
"SOURCE_DSIRE:dsire_program_id:1596","sales_or_property_tax_exemption","","tax_benefit","residential_only","none","project_cost_estimate","ownership_status|tax_entity_type|contractor_quote_amount","equipment_category","tax_exemption","benchmark_range","needs_tax_review","medium","true"
"SOURCE_DSIRE:dsire_program_id:2501","sales_or_property_tax_exemption","solar_electric_offset","bill_savings|tax_benefit","mixed","none|electric","project_cost_estimate","ownership_status|tax_entity_type|contractor_quote_amount|time_of_use_periods|demand_charges|generation_charges|delivery_charges","equipment_category","tax_exemption","benchmark_range","needs_tax_review","medium","false"
"SOURCE_DSIRE:dsire_program_id:3187","pace_or_on_bill_financing","electric_usage_reduction|gas_usage_reduction","bill_savings|financing","mixed","none|electric|gas","project_cost_estimate|financing_term_years|interest_rate","ownership_status|down_payment|annual_electric_cost|annual_gas_cost|monthly_kwh|rate_schedule|delivery_charges|generation_charges|monthly_therms|gas_rate_schedule","ownership_status","financing","contractor_quote_required","needs_quote","high","false"
"SOURCE_DSIRE:dsire_program_id:4250","pace_or_on_bill_financing","project_cost_reduction_only","upfront_cost_reduction|financing","mixed","none","project_cost_estimate|financing_term_years|interest_rate","ownership_status|down_payment|annual_electric_cost|annual_gas_cost|contractor_quote_amount|quote_date","ownership_status","financing","contractor_quote_required","needs_quote","high","false"
"SOURCE_DSIRE:dsire_program_id:5735","financing_cash_flow","electric_usage_reduction|gas_usage_reduction","bill_savings|financing","business_relevant","none|electric|gas","project_cost_estimate|interest_rate|financing_term_years","down_payment|contractor_quote_amount|monthly_kwh|rate_schedule|delivery_charges|generation_charges|monthly_therms|gas_rate_schedule","equipment_category","financing","contractor_quote_required","needs_quote","high","false"
"SOURCE_DSIRE:dsire_program_id:679","financing_cash_flow","solar_electric_offset|controls_building_automation","bill_savings|financing","business_relevant","none|electric","project_cost_estimate|interest_rate|financing_term_years","down_payment|contractor_quote_amount|time_of_use_periods|demand_charges|generation_charges|delivery_charges|annual_therms|peak_kw","equipment_category","financing","contractor_quote_required","needs_quote","medium","true"
"SOURCE_DSIRE:dsire_program_id:2628","solar_electric_offset","project_cost_reduction_only|net_metering_or_export_value","bill_savings|upfront_cost_reduction","mixed","electric|none","annual_kwh|monthly_kwh|average_cost_per_kwh|rate_schedule","time_of_use_periods|demand_charges|generation_charges|delivery_charges|contractor_quote_amount|quote_date","roof_area|ownership_status","per_kw","cost_per_kw","needs_bill","medium","true"
"SOURCE_DSIRE:dsire_program_id:2526","solar_electric_offset","net_metering_or_export_value","bill_savings|upfront_cost_reduction","mixed","electric","annual_kwh|monthly_kwh|average_cost_per_kwh|rate_schedule","time_of_use_periods|demand_charges|generation_charges|delivery_charges","roof_area|ownership_status","per_kw","cost_per_kw","needs_bill","medium","true"
"SOURCE_DSIRE:dsire_program_id:5686","renewable_generation_credit_market_value","solar_electric_offset","bill_savings|policy_or_permitting|market_credit","mixed","electric|none","annual_kwh","monthly_kwh|rate_schedule|time_of_use_periods|demand_charges|generation_charges|delivery_charges","equipment_category|project_timing","unknown","unknown","policy_only","low","true"
"SOURCE_DSIRE:dsire_program_id:4790","program_rule_value_only","","policy_or_permitting","mixed","none","","service_address|utility_provider","project_timing","unknown","unknown","policy_only","high","true"
